,movieId,title,user_id
0,45517,Cars (2006),1
1,72011,Up in the Air (2009),1
2,4121,Innerspace (1987),1
3,3259,Far and Away (1992),1
4,67734,Adventureland (2009),1
5,68554,Angels & Demons (2009),1
6,1251,8 1/2 (8½) (1963),1
7,5992,"Hours, The (2002)",1
8,4321,City Slickers (1991),1
9,4011,Snatch (2000),1
10,27808,Spanglish (2004),1
0,58047,"Definitely, Maybe (2008)",2
1,45672,Click (2006),2
2,40815,Harry Potter and the Goblet of Fire (2005),2
3,36529,Lord of War (2005),2
4,4886,"Monsters, Inc. (2001)",2
5,3271,Of Mice and Men (1992),2
6,2867,Fright Night (1985),2
7,2951,"Fistful of Dollars, A (Per un pugno di dollari) (1964)",2
8,1566,Hercules (1997),2
9,1587,Conan the Barbarian (1982),2
10,991,Michael Collins (1996),2
0,111362,X-Men: Days of Future Past (2014),3
1,69122,"Hangover, The (2009)",3
2,4367,Lara Croft: Tomb Raider (2001),3
3,86882,Midnight in Paris (2011),3
4,53121,Shrek the Third (2007),3
5,1676,Starship Troopers (1997),3
6,55118,Eastern Promises (2007),3
7,6793,Beethoven (1992),3
8,45880,Marie Antoinette (2006),3
9,3479,Ladyhawke (1985),3
10,7318,"Passion of the Christ, The (2004)",3
0,56782,There Will Be Blood (2007),4
1,54004,I Now Pronounce You Chuck and Larry (2007),4
2,54999,Shoot 'Em Up (2007),4
3,45447,"Da Vinci Code, The (2006)",4
4,45081,Silent Hill (2006),4
5,41569,King Kong (2005),4
6,45501,"Break-Up, The (2006)",4
7,31433,"Wedding Date, The (2005)",4
8,37384,Waiting... (2005),4
9,35836,"40-Year-Old Virgin, The (2005)",4
10,8644,"I, Robot (2004)",4
0,96610,Looper (2012),5
1,55820,No Country for Old Men (2007),5
2,103042,Man of Steel (2013),5
3,97921,Silver Linings Playbook (2012),5
4,3681,For a Few Dollars More (Per qualche dollaro in più) (1965),5
5,88129,Drive (2011),5
6,81564,Megamind (2010),5
7,80489,"Town, The (2010)",5
8,82461,Tron: Legacy (2010),5
9,85414,Source Code (2011),5
10,1690,Alien: Resurrection (1997),5
